,pickup_hour,pickup_weekday,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
122,17,3,14.068848107164207,2508749,35295208.6200001,2.812765641361521,16.48808477166306
123,17,4,13.639941349449751,2525296,34444889.330000065,2.80059621129561,16.07798517020829
124,17,5,12.90067725362367,2423863,31269474.270000026,2.769452993011574,13.976450044308354
125,17,6,13.873119648543463,2204540,30583847.19,3.23085508541468,14.529129943274505
126,18,0,12.421307865635605,2732926,33946515.22000004,2.694365789633556,17.153023041779242
127,18,1,12.467874247961845,2896462,36112723.980000064,2.541142138236244,17.325804092361132
128,18,2,12.712932169992936,2904968,36930661.14000004,2.5574094172466046,17.283233356430298
129,18,3,12.92589884654577,2908828,37599216.49000004,2.6205521467752795,17.067443478006442
130,18,4,12.635072910265524,2899866,36640018.34000005,2.605926994557685,16.591677376026357
131,18,5,12.391281486787992,2634081,32639639.130000006,2.591636540410124,14.218128315275465
132,18,6,13.381498998118605,2222818,29744636.840000004,3.089451003186067,14.739786747423663
133,19,0,11.880001619338719,2519547,29932222.440000016,2.7905725949942597,17.43618392610558
134,19,1,11.886234232549826,2749097,32676410.870000035,2.653658546788262,17.793666445474475
135,19,2,12.116047013428345,2840933,34420877.79000002,2.646752531650701,17.66862493065666
136,19,3,12.491558636275279,2880640,35983683.47000002,2.6862285117196185,17.454198018927155
137,19,4,12.850234579388522,2910358,37398783.01000001,2.617187126119894,16.627460112549624
138,19,5,12.372192059174726,2667355,33001028.350000005,2.502541810145265,14.325174314872848
139,19,6,13.150366977107089,1981486,26057268.06000001,3.160741494010037,14.88481116262884
140,20,0,12.42451157787143,2312774,28735087.34000002,3.097045984605503,17.17794605086717
141,20,1,12.331642344042205,2623963,32357773.24000001,2.954169567177593,17.51160096555137
142,20,2,12.485167001028195,2707648,33805437.45999999,2.9371198398019236,17.414795114926953
143,20,3,12.797324409489093,2777129,35539820.74000003,2.9378030764865177,17.12700104148902
144,20,4,12.553129896291876,2533167,31799174.4,2.852719970692817,16.126292640938587
145,20,5,12.395290337759487,2218709,27501542.23000002,2.71614370338788,14.937132751654561
146,20,6,13.459572808907339,1799148,24215763.500000026,3.3913668692070096,15.517065103740482
147,21,0,12.888128863237787,2226112,28690418.32,3.270357726834946,17.205598392776484
148,21,1,12.75140931184407,2644546,33721688.48999999,3.1157118613175845,17.514740815243602
149,21,2,12.858333392171554,2747647,35330161.169999994,3.0980863007511807,17.484948444456187
150,21,3,13.238308282505741,2828516,37444766.79000001,3.1091021475572687,17.161307604044257
151,21,4,12.93788469999582,2491032,32228684.799999986,2.9915120560474486,15.985206876430546
152,21,5,12.420862719159794,2198282,27304558.94000003,2.7827271842284302,15.017590611179664
153,21,6,13.726555730748483,1700982,23348624.22000002,3.5421787414563966,15.468704319034645
